"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"108","Harvard","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108","108",NA,NA
"62","Hawai’i","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62","62",NA,NA
"2272","High Point","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272","2272",NA,NA
"2275","Hofstra","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275","2275",NA,NA
"107","Holy Cross","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107","107",NA,NA
"2277","Hou Christian","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277","2277",NA,NA
"248","Houston","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248","248",1,25
"47","Howard","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47",NA,NA
"85","IU Indy","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85","85",NA,NA
"304","Idaho St","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304","304",NA,NA
"70","Idaho","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70",NA,NA
"356","Illinois","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356","356",3,13
"2287","Illinois St","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287","2287",NA,NA
"2916","Incarnate Word","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916","2916",NA,NA
"84","Indiana","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84","84",NA,NA
"282","Indiana St","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282","282",NA,NA
"314","Iona","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314","314",NA,NA
"2294","Iowa","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294","2294",NA,NA
"66","Iowa State","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66","66",2,19
"2296","Jackson St","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296","2296",NA,NA
"294","Jacksonville","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294","294",NA,NA
"55","Jax State","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55","55",NA,NA
"256","James Madison","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256","256",12,3
"140","Kansas City","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140",NA,NA
"2305","Kansas","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305","2305",4,12
"2306","Kansas St","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306","2306",NA,NA
"338","Kennesaw St","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338","338",NA,NA
"2309","Kent State","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309","2309",NA,NA
"96","Kentucky","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96",3,13
"99","LSU","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99",NA,NA
